nu dvA wA eA rpA iA dvB wB eB rpB iB
0 3510.29217 185.573436 0.7 7966.2 64 3510.29217 314.426564 0.7 7966.2 64
0.5 3485.33322 186.071749 0.7 7966.2 64 3535.34948 314.928251 0.7 7966.2 64
1 3460.47448 186.566687 0.7 7966.2 64 3560.50323 315.433313 0.7 7966.2 64
1.5 3435.71777 187.058253 0.7 7966.2 64 3585.75143 315.941747 0.7 7966.2 64
2 3411.06485 187.546446 0.7 7966.2 64 3611.09208 316.453554 0.7 7966.2 64
2.5 3386.51744 188.03127 0.7 7966.2 64 3636.5231 316.96873 0.7 7966.2 64
3 3362.07718 188.512726 0.7 7966.2 64 3662.04235 317.487274 0.7 7966.2 64
3.5 3337.74568 188.990817 0.7 7966.2 64 3687.64766 318.009183 0.7 7966.2 64
4 3313.52448 189.465548 0.7 7966.2 64 3713.33681 318.534452 0.7 7966.2 64
4.5 3289.41509 189.936921 0.7 7966.2 64 3739.10751 319.063079 0.7 7966.2 64
5 3265.41894 190.404942 0.7 7966.2 64 3764.95743 319.595058 0.7 7966.2 64
5.5 3241.53744 190.869615 0.7 7966.2 64 3790.8842 320.130385 0.7 7966.2 64
6 3217.77191 191.330947 0.7 7966.2 64 3816.88538 320.669053 0.7 7966.2 64
6.5 3194.12365 191.788942 0.7 7966.2 64 3842.9585 321.211058 0.7 7966.2 64
7 3170.5939 192.243609 0.7 7966.2 64 3869.10103 321.756391 0.7 7966.2 64
7.5 3147.18383 192.694954 0.7 7966.2 64 3895.31039 322.305046 0.7 7966.2 64
8 3123.89459 193.142985 0.7 7966.2 64 3921.58398 322.857015 0.7 7966.2 64
8.5 3100.72726 193.58771 0.7 7966.2 64 3947.91912 323.41229 0.7 7966.2 64
9 3077.68287 194.029137 0.7 7966.2 64 3974.3131 323.970863 0.7 7966.2 64
9.5 3054.7624 194.467276 0.7 7966.2 64 4000.76315 324.532724 0.7 7966.2 64
10 3031.96678 194.902136 0.7 7966.2 64 4027.26649 325.097864 0.7 7966.2 64
10.5 3009.29692 195.333728 0.7 7966.2 64 4053.82026 325.666272 0.7 7966.2 64
11 2986.75363 195.762061 0.7 7966.2 64 4080.42158 326.237939 0.7 7966.2 64
