nu dvA wA eA rpA iA dvB wB eB rpB iB
0 268.017427 270 0.704049005 7858.68272 63.434 nan nan nan nan nan
0.5 267.894519 270 0.703974491 7860.66137 63.434 nan nan nan nan nan
1 267.768772 270 0.703900001 7862.63939 63.434 nan nan nan nan nan
1.5 267.640187 270 0.703825532 7864.61683 63.434 nan nan nan nan nan
2 267.508763 270 0.703751081 7866.59379 63.434 nan nan nan nan nan
2.5 267.374502 270 0.703676646 7868.57035 63.434 nan nan nan nan nan
3 267.237403 270 0.703602222 7870.54659 63.434 nan nan nan nan nan
3.5 267.097469 270 0.703527808 7872.52258 63.434 nan nan nan nan nan
4 266.954701 270 0.7034534 7874.49842 63.434 nan nan nan nan nan
4.5 266.809099 270 0.703378994 7876.47418 63.434 nan nan nan nan nan
5 266.660665 270 0.703304589 7878.44995 63.434 nan nan nan nan nan
5.5 266.509401 270 0.70323018 7880.42579 63.434 nan nan nan nan nan
6 266.35531 270 0.703155765 7882.40181 63.434 nan nan nan nan nan
6.5 266.198392 270 0.703081341 7884.37807 63.434 nan nan nan nan nan
7 266.038652 270 0.703006905 7886.35466 63.434 nan nan nan nan nan
7.5 265.87609 270 0.702932452 7888.33166 63.434 nan nan nan nan nan
8 265.710711 270 0.702857982 7890.30915 63.434 nan nan nan nan nan
8.5 265.542516 270 0.70278349 7892.28721 63.434 nan nan nan nan nan
9 265.37151 270 0.702708973 7894.26593 63.434 nan nan nan nan nan
9.5 265.197695 270 0.702634428 7896.24539 63.434 nan nan nan nan nan
10 265.021076 270 0.702559853 7898.22566 63.434 nan nan nan nan nan
10.5 264.841655 270 0.702485244 7900.20684 63.434 nan nan nan nan nan
11 264.659438 270 0.702410598 7902.18899 63.434 nan nan nan nan nan
11.5 264.474427 270 0.702335911 7904.17222 63.434 nan nan nan nan nan
12 264.286629 270 0.702261181 7906.15659 63.434 nan nan nan nan nan
12.5 264.096046 270 0.702186405 7908.14219 63.434 nan nan nan nan nan
13 263.902684 270 0.70211158 7910.12911 63.434 nan nan nan nan nan
13.5 263.706549 270 0.702036702 7912.11743 63.434 nan nan nan nan nan
14 263.507645 270 0.701961768 7914.10722 63.434 nan nan nan nan nan
14.5 263.305977 270 0.701886775 7916.09859 63.434 nan nan nan nan nan
15 263.101551 270 0.70181172 7918.0916 63.434 nan nan nan nan nan
15.5 262.894374 270 0.701736599 7920.08634 63.434 nan nan nan nan nan
16 262.68445 270 0.70166141 7922.08291 63.434 nan nan nan nan nan
16.5 262.471787 270 0.70158615 7924.08138 63.434 nan nan nan nan nan
17 262.256391 270 0.701510814 7926.08183 63.434 nan nan nan nan nan
17.5 262.038268 270 0.701435401 7928.08437 63.434 nan nan nan nan nan
18 261.817425 270 0.701359906 7930.08906 63.434 nan nan nan nan nan
18.5 261.59387 270 0.701284326 7932.09601 63.434 nan nan nan nan nan
19 261.367609 270 0.701208658 7934.10528 63.434 nan nan nan nan nan
19.5 261.13865 270 0.7011329 7936.11699 63.434 nan nan nan nan nan
20 260.907001 270 0.701057046 7938.1312 63.434 nan nan nan nan nan
20.5 260.672669 270 0.700981095 7940.14801 63.434 nan nan nan nan nan
21 260.435663 270 0.700905042 7942.16751 63.434 nan nan nan nan nan
21.5 260.195991 270 0.700828885 7944.18978 63.434 nan nan nan nan nan
22 259.953661 270 0.70075262 7946.21493 63.434 nan nan nan nan nan
22.5 259.708683 270 0.700676244 7948.24303 63.434 nan nan nan nan nan
23 259.461065 270 0.700599752 7950.27417 63.434 nan nan nan nan nan
23.5 259.210816 270 0.700523143 7952.30846 63.434 nan nan nan nan nan
24 258.957946 270 0.700446412 7954.34598 63.434 nan nan nan nan nan
24.5 258.702465 270 0.700369555 7956.38683 63.434 nan nan nan nan nan
25 258.444381 270 0.70029257 7958.43109 63.434 nan nan nan nan nan
25.5 258.183706 270 0.700215453 7960.47887 63.434 nan nan nan nan nan
26 257.92045 270 0.7001382 7962.53025 63.434 nan nan nan nan nan
26.5 257.654622 270 0.700060807 7964.58533 63.434 nan nan nan nan nan
27 257.386234 270 0.699983271 7966.64421 63.434 nan nan nan nan nan
27.5 257.115297 270 0.699905589 7968.70699 63.434 nan nan nan nan nan
28 256.841822 270 0.699827757 7970.77375 63.434 nan nan nan nan nan
28.5 256.56582 270 0.69974977 7972.84461 63.434 nan nan nan nan nan
29 256.287302 270 0.699671626 7974.91966 63.434 nan nan nan nan nan
29.5 256.006282 270 0.69959332 7976.99899 63.434 nan nan nan nan nan
30 255.72277 270 0.699514848 7979.08271 63.434 nan nan nan nan nan
30.5 255.43678 270 0.699436208 7981.17093 63.434 nan nan nan nan nan
31 255.148323 270 0.699357395 7983.26373 63.434 nan nan nan nan nan
31.5 254.857413 270 0.699278405 7985.36124 63.434 nan nan nan nan nan
32 254.564063 270 0.699199234 7987.46354 63.434 nan nan nan nan nan
32.5 254.268285 270 0.699119878 7989.57075 63.434 nan nan nan nan nan
33 253.970094 270 0.699040334 7991.68297 63.434 nan nan nan nan nan
33.5 253.669504 270 0.698960597 7993.8003 63.434 nan nan nan nan nan
34 253.366527 270 0.698880663 7995.92287 63.434 nan nan nan nan nan
34.5 253.061179 270 0.698800529 7998.05076 63.434 nan nan nan nan nan
35 252.753475 270 0.698720189 8000.18411 63.434 nan nan nan nan nan
35.5 252.443428 270 0.69863964 8002.32301 63.434 nan nan nan nan nan
36 252.131054 270 0.698558877 8004.46757 63.434 nan nan nan nan nan
36.5 251.816369 270 0.698477897 8006.61792 63.434 nan nan nan nan nan
37 251.499388 270 0.698396695 8008.77417 63.434 nan nan nan nan nan
37.5 251.180126 270 0.698315266 8010.93643 63.434 nan nan nan nan nan
38 250.858601 270 0.698233606 8013.10481 63.434 nan nan nan nan nan
38.5 250.534827 270 0.698151712 8015.27945 63.434 nan nan nan nan nan
39 250.208823 270 0.698069577 8017.46045 63.434 nan nan nan nan nan
39.5 249.880605 270 0.697987198 8019.64794 63.434 nan nan nan nan nan
40 249.550191 270 0.69790457 8021.84204 63.434 nan nan nan nan nan
40.5 249.217597 270 0.697821689 8024.04287 63.434 nan nan nan nan nan
41 248.882841 270 0.697738549 8026.25056 63.434 nan nan nan nan nan
41.5 248.545942 270 0.697655147 8028.46523 63.434 nan nan nan nan nan
42 248.206919 270 0.697571476 8030.68702 63.434 nan nan nan nan nan
42.5 247.865789 270 0.697487533 8032.91605 63.434 nan nan nan nan nan
43 247.522573 270 0.697403312 8035.15245 63.434 nan nan nan nan nan
43.5 247.177288 270 0.697318809 8037.39636 63.434 nan nan nan nan nan
44 246.829955 270 0.697234017 8039.64791 63.434 nan nan nan nan nan
44.5 246.480594 270 0.697148933 8041.90723 63.434 nan nan nan nan nan
45 246.129225 270 0.697063551 8044.17446 63.434 nan nan nan nan nan
45.5 245.775869 270 0.696977866 8046.44975 63.434 nan nan nan nan nan
46 245.420546 270 0.696891872 8048.73323 63.434 nan nan nan nan nan
46.5 245.063278 270 0.696805564 8051.02505 63.434 nan nan nan nan nan
47 244.704086 270 0.696718937 8053.32534 63.434 nan nan nan nan nan
47.5 244.342993 270 0.696631985 8055.63427 63.434 nan nan nan nan nan
48 243.98002 270 0.696544703 8057.95197 63.434 nan nan nan nan nan
48.5 243.615191 270 0.696457084 8060.2786 63.434 nan nan nan nan nan
49 243.248527 270 0.696369123 8062.6143 63.434 nan nan nan nan nan
49.5 242.880053 270 0.696280815 8064.95924 63.434 nan nan nan nan nan
50 242.509793 270 0.696192153 8067.31357 63.434 nan nan nan nan nan
50.5 242.13777 270 0.696103131 8069.67745 63.434 nan nan nan nan nan
51 241.764008 270 0.696013744 8072.05105 63.434 nan nan nan nan nan
51.5 241.388533 270 0.695923985 8074.43451 63.434 nan nan nan nan nan
52 241.011371 270 0.695833847 8076.82802 63.434 nan nan nan nan nan
52.5 240.632545 270 0.695743325 8079.23174 63.434 nan nan nan nan nan
53 240.252084 270 0.695652413 8081.64583 63.434 nan nan nan nan nan
53.5 239.870012 270 0.695561103 8084.07048 63.434 nan nan nan nan nan
54 239.486358 270 0.695469388 8086.50586 63.434 nan nan nan nan nan
54.5 239.101148 270 0.695377264 8088.95214 63.434 nan nan nan nan nan
55 238.71441 270 0.695284721 8091.40952 63.434 nan nan nan nan nan
55.5 238.326172 270 0.695191754 8093.87817 63.434 nan nan nan nan nan
56 237.936463 270 0.695098355 8096.35828 63.434 nan nan nan nan nan
56.5 237.545312 270 0.695004518 8098.85003 63.434 nan nan nan nan nan
57 237.152748 270 0.694910234 8101.35364 63.434 nan nan nan nan nan
57.5 236.758802 270 0.694815498 8103.86927 63.434 nan nan nan nan nan
58 236.363504 270 0.6947203 8106.39715 63.434 nan nan nan nan nan
58.5 235.966885 270 0.694624634 8108.93747 63.434 nan nan nan nan nan
59 235.568977 270 0.694528492 8111.49043 63.434 nan nan nan nan nan
59.5 235.169811 270 0.694431865 8114.05625 63.434 nan nan nan nan nan
60 234.769421 270 0.694334747 8116.63513 63.434 nan nan nan nan nan
60.5 234.367838 270 0.694237128 8119.22729 63.434 nan nan nan nan nan
61 233.965098 270 0.694139001 8121.83296 63.434 nan nan nan nan nan
61.5 233.561233 270 0.694040357 8124.45235 63.434 nan nan nan nan nan
62 233.15628 270 0.693941188 8127.0857 63.434 nan nan nan nan nan
62.5 232.750272 270 0.693841484 8129.73322 63.434 nan nan nan nan nan
63 232.343246 270 0.693741238 8132.39517 63.434 nan nan nan nan nan
63.5 231.935239 270 0.69364044 8135.07177 63.434 nan nan nan nan nan
64 231.526288 270 0.69353908 8137.76327 63.434 nan nan nan nan nan
64.5 231.116429 270 0.69343715 8140.46991 63.434 nan nan nan nan nan
65 230.705703 270 0.69333464 8143.19196 63.434 nan nan nan nan nan
65.5 230.294147 270 0.693231541 8145.92966 63.434 nan nan nan nan nan
66 229.881801 270 0.693127842 8148.68328 63.434 nan nan nan nan nan
66.5 229.468707 270 0.693023534 8151.45308 63.434 nan nan nan nan nan
67 229.054904 270 0.692918606 8154.23934 63.434 nan nan nan nan nan
67.5 228.640435 270 0.692813048 8157.04232 63.434 nan nan nan nan nan
68 228.225342 270 0.69270685 8159.86231 63.434 nan nan nan nan nan
68.5 227.809669 270 0.6926 8162.6996 63.434 nan nan nan nan nan
69 227.39346 270 0.692492488 8165.55448 63.434 nan nan nan nan nan
69.5 226.976759 270 0.692384302 8168.42724 63.434 nan nan nan nan nan
70 226.559611 270 0.692275431 8171.31819 63.434 nan nan nan nan nan
70.5 226.142065 270 0.692165864 8174.22764 63.434 nan nan nan nan nan
71 225.724166 270 0.692055589 8177.1559 63.434 nan nan nan nan nan
71.5 225.305964 270 0.691944592 8180.10329 63.434 nan nan nan nan nan
72 224.887506 270 0.691832863 8183.07015 63.434 nan nan nan nan nan
72.5 224.468844 270 0.691720389 8186.05679 63.434 nan nan nan nan nan
73 224.050027 270 0.691607156 8189.06358 63.434 nan nan nan nan nan
73.5 223.631108 270 0.691493152 8192.09084 63.434 nan nan nan nan nan
74 223.21214 270 0.691378363 8195.13895 63.434 nan nan nan nan nan
74.5 222.793176 270 0.691262776 8198.20825 63.434 nan nan nan nan nan
75 222.374272 270 0.691146376 8201.29912 63.434 nan nan nan nan nan
75.5 221.955483 270 0.69102915 8204.41195 63.434 nan nan nan nan nan
76 221.536867 270 0.690911083 8207.5471 63.434 nan nan nan nan nan
76.5 221.11848 270 0.69079216 8210.70498 63.434 nan nan nan nan nan
77 220.700384 270 0.690672366 8213.88599 63.434 nan nan nan nan nan
77.5 220.282638 270 0.690551686 8217.09054 63.434 nan nan nan nan nan
78 219.865303 270 0.690430103 8220.31904 63.434 nan nan nan nan nan
78.5 219.448444 270 0.690307602 8223.57194 63.434 nan nan nan nan nan
79 219.032123 270 0.690184166 8226.84966 63.434 nan nan nan nan nan
