nu dvA wA eA rpA iA dvB wB eB rpB iB
0 3530.33178 184.282097 0.7 7966.2 65.0205765 3530.33178 313.135226 0.7 7966.2 65.0205765
0.5 3505.38035 184.779774 0.7 7966.2 64.9935759 3555.11459 313.636277 0.7 7966.2 64.9935759
1 3480.53192 185.274082 0.7 7966.2 64.9667534 3580.00029 314.140707 0.7 7966.2 64.9667534
1.5 3455.78827 185.76502 0.7 7966.2 64.9401033 3604.98673 314.648515 0.7 7966.2 64.9401033
2 3431.15115 186.252591 0.7 7966.2 64.9136198 3630.07173 315.159698 0.7 7966.2 64.9136198
2.5 3406.62223 186.736795 0.7 7966.2 64.8872974 3655.25305 315.674255 0.7 7966.2 64.8872974
3 3382.20315 187.217635 0.7 7966.2 64.8611308 3680.5284 316.192183 0.7 7966.2 64.8611308
3.5 3357.89549 187.695114 0.7 7966.2 64.8351145 3705.89546 316.713479 0.7 7966.2 64.8351145
4 3333.70078 188.169235 0.7 7966.2 64.8092434 3731.35185 317.23814 0.7 7966.2 64.8092434
4.5 3309.6205 188.640003 0.7 7966.2 64.7835123 3756.89516 317.766161 0.7 7966.2 64.7835123
5 3285.65609 189.107422 0.7 7966.2 64.7579163 3782.52291 318.297538 0.7 7966.2 64.7579163
5.5 3261.80892 189.571496 0.7 7966.2 64.7324504 3808.23259 318.832266 0.7 7966.2 64.7324504
6 3238.08031 190.032231 0.7 7966.2 64.7071098 3834.02165 319.370338 0.7 7966.2 64.7071098
6.5 3214.47155 190.489633 0.7 7966.2 64.6818898 3859.88749 319.911748 0.7 7966.2 64.6818898
7 3190.98386 190.943709 0.7 7966.2 64.6567857 3885.82746 320.456491 0.7 7966.2 64.6567857
7.5 3167.61842 191.394466 0.7 7966.2 64.6317928 3911.83888 321.004557 0.7 7966.2 64.6317928
8 3144.37636 191.841911 0.7 7966.2 64.6069068 3937.91902 321.555941 0.7 7966.2 64.6069068
8.5 3121.25876 192.286053 0.7 7966.2 64.5821231 3964.06509 322.110633 0.7 7966.2 64.5821231
9 3098.26664 192.726899 0.7 7966.2 64.5574374 3990.27429 322.668625 0.7 7966.2 64.5574374
9.5 3075.40099 193.164459 0.7 7966.2 64.5328454 4016.54375 323.229907 0.7 7966.2 64.5328454
10 3052.66273 193.598743 0.7 7966.2 64.5083428 4042.87058 323.794471 0.7 7966.2 64.5083428
10.5 3030.05277 194.02976 0.7 7966.2 64.4839254 4069.25184 324.362304 0.7 7966.2 64.4839254
11 3007.57193 194.45752 0.7 7966.2 64.4595892 4095.68455 324.933398 0.7 7966.2 64.4595892
11.5 2985.221 194.882036 0.7 7966.2 64.4353299 4122.16568 325.507741 0.7 7966.2 64.4353299
12 2963.00074 195.303317 0.7 7966.2 64.4111436 4148.69219 326.085321 0.7 7966.2 64.4111436
12.5 2940.91184 195.721376 0.7 7966.2 64.3870264 4175.26098 326.666127 0.7 7966.2 64.3870264
13 2918.95495 196.136225 0.7 7966.2 64.3629741 4201.86892 327.250146 0.7 7966.2 64.3629741
13.5 2897.1307 196.547877 0.7 7966.2 64.338983 4228.51284 327.837365 0.7 7966.2 64.338983
14 2875.43965 196.956345 0.7 7966.2 64.3150493 4255.18954 328.427771 0.7 7966.2 64.3150493
14.5 2853.88232 197.361641 0.7 7966.2 64.2911689 4281.89578 329.02135 0.7 7966.2 64.2911689
15 2832.4592 197.763781 0.7 7966.2 64.2673382 4308.62831 329.618089 0.7 7966.2 64.2673382
15.5 2811.17073 198.162777 0.7 7966.2 64.2435534 4335.3838 330.217973 0.7 7966.2 64.2435534
16 2790.0173 198.558646 0.7 7966.2 64.2198108 4362.15894 330.820987 0.7 7966.2 64.2198108
16.5 2768.99929 198.951401 0.7 7966.2 64.1961066 4388.95036 331.427116 0.7 7966.2 64.1961066
17 2748.11701 199.341058 0.7 7966.2 64.1724371 4415.75467 332.036345 0.7 7966.2 64.1724371
17.5 2727.37074 199.727633 0.7 7966.2 64.1487987 4442.56843 332.648657 0.7 7966.2 64.1487987
18 2706.76074 200.111142 0.7 7966.2 64.1251878 4469.38822 333.264037 0.7 7966.2 64.1251878
18.5 2686.2872 200.491601 0.7 7966.2 64.1016007 4496.21054 333.882468 0.7 7966.2 64.1016007
19 2665.95031 200.869027 0.7 7966.2 64.0780338 4523.0319 334.503933 0.7 7966.2 64.0780338
19.5 2645.7502 201.243436 0.7 7966.2 64.0544835 4549.84877 335.128416 0.7 7966.2 64.0544835
20 2625.68697 201.614846 0.7 7966.2 64.0309462 4576.6576 335.755898 0.7 7966.2 64.0309462
20.5 2605.76069 201.983275 0.7 7966.2 64.0074183 4603.45482 336.386361 0.7 7966.2 64.0074183
21 2585.97141 202.34874 0.7 7966.2 63.9838962 4630.23683 337.019789 0.7 7966.2 63.9838962
21.5 2566.31911 202.71126 0.7 7966.2 63.9603764 4657.00003 337.656163 0.7 7966.2 63.9603764
22 2546.80379 203.070852 0.7 7966.2 63.9368553 4683.74078 338.295464 0.7 7966.2 63.9368553
22.5 2527.42537 203.427535 0.7 7966.2 63.9133293 4710.45542 338.937673 0.7 7966.2 63.9133293
23 2508.18379 203.781329 0.7 7966.2 63.8897948 4737.14029 339.582772 0.7 7966.2 63.8897948
23.5 2489.07891 204.132251 0.7 7966.2 63.8662483 4763.7917 340.230741 0.7 7966.2 63.8662483
24 2470.1106 204.480322 0.7 7966.2 63.8426861 4790.40596 340.881562 0.7 7966.2 63.8426861
24.5 2451.2787 204.82556 0.7 7966.2 63.8191047 4816.97934 341.535213 0.7 7966.2 63.8191047
25 2432.583 205.167986 0.7 7966.2 63.7955004 4843.50812 342.191677 0.7 7966.2 63.7955004
25.5 2414.02329 205.507619 0.7 7966.2 63.7718697 4869.98856 342.850931 0.7 7966.2 63.7718697
26 2395.59933 205.844479 0.7 7966.2 63.7482088 4896.41691 343.512958 0.7 7966.2 63.7482088
26.5 2377.31085 206.178586 0.7 7966.2 63.7245141 4922.78942 344.177735 0.7 7966.2 63.7245141
27 2359.15756 206.509961 0.7 7966.2 63.700782 4949.1023 344.845244 0.7 7966.2 63.700782
27.5 2341.13915 206.838624 0.7 7966.2 63.6770087 4975.35179 345.515462 0.7 7966.2 63.6770087
28 2323.25528 207.164595 0.7 7966.2 63.6531905 5001.5341 346.18837 0.7 7966.2 63.6531905
28.5 2305.50562 207.487895 0.7 7966.2 63.6293237 5027.64544 346.863946 0.7 7966.2 63.6293237
29 2287.88979 207.808545 0.7 7966.2 63.6054044 5053.68203 347.54217 0.7 7966.2 63.6054044
29.5 2270.4074 208.126566 0.7 7966.2 63.5814288 5079.64005 348.223021 0.7 7966.2 63.5814288
30 2253.05805 208.441979 0.7 7966.2 63.5573931 5105.51572 348.906477 0.7 7966.2 63.5573931
30.5 2235.84131 208.754805 0.7 7966.2 63.5332934 5131.30522 349.592517 0.7 7966.2 63.5332934
31 2218.75675 209.065064 0.7 7966.2 63.5091258 5157.00477 350.28112 0.7 7966.2 63.5091258
31.5 2201.80392 209.372779 0.7 7966.2 63.4848862 5182.61055 350.972264 0.7 7966.2 63.4848862
32 2184.98235 209.67797 0.7 7966.2 63.4605707 5208.11876 351.665929 0.7 7966.2 63.4605707
32.5 2168.29157 209.980659 0.7 7966.2 63.4361752 5233.52561 352.362092 0.7 7966.2 63.4361752
33 2151.73107 210.280867 0.7 7966.2 63.4116955 5258.8273 353.060731 0.7 7966.2 63.4116955
33.5 2135.30037 210.578616 0.7 7966.2 63.3871275 5284.02005 353.761827 0.7 7966.2 63.3871275
34 2118.99894 210.873926 0.7 7966.2 63.362467 5309.10005 354.465356 0.7 7966.2 63.362467
34.5 2102.82626 211.16682 0.7 7966.2 63.3377096 5334.06355 355.171297 0.7 7966.2 63.3377096
35 2086.7818 211.457318 0.7 7966.2 63.3128511 5358.90675 355.879628 0.7 7966.2 63.3128511
35.5 2070.86501 211.745443 0.7 7966.2 63.2878869 5383.62589 356.590329 0.7 7966.2 63.2878869
36 2055.07535 212.031215 0.7 7966.2 63.2628126 5408.21723 357.303377 0.7 7966.2 63.2628126
36.5 2039.41226 212.314656 0.7 7966.2 63.2376237 5432.677 358.01875 0.7 7966.2 63.2376237
37 2023.87518 212.595788 0.7 7966.2 63.2123154 5457.00148 358.736427 0.7 7966.2 63.2123154
37.5 2008.46354 212.874631 0.7 7966.2 63.1868832 5481.18693 359.456386 0.7 7966.2 63.1868832
38 1993.17676 213.151208 0.7 7966.2 63.161322 5505.22964 0.178606597 0.7 7966.2 63.161322
38.5 1978.01428 213.425539 0.7 7966.2 63.1356271 5529.12591 0.903066004 0.7 7966.2 63.1356271
39 1962.97549 213.697646 0.7 7966.2 63.1097935 5552.87206 1.62974309 0.7 7966.2 63.1097935
39.5 1948.05984 213.96755 0.7 7966.2 63.0838161 5576.4644 2.3586164 0.7 7966.2 63.0838161
40 1933.26671 214.235272 0.7 7966.2 63.0576897 5599.89928 3.0896645 0.7 7966.2 63.0576897
40.5 1918.59554 214.500834 0.7 7966.2 63.0314091 5623.17305 3.82286604 0.7 7966.2 63.0314091
41 1904.04573 214.764255 0.7 7966.2 63.0049687 5646.2821 4.5581997 0.7 7966.2 63.0049687
41.5 1889.61669 215.025559 0.7 7966.2 62.9783632 5669.2228 5.29564425 0.7 7966.2 62.9783632
42 1875.30784 215.284764 0.7 7966.2 62.9515868 5691.99156 6.03517851 0.7 7966.2 62.9515868
42.5 1861.11858 215.541892 0.7 7966.2 62.9246338 5714.58482 6.77678139 0.7 7966.2 62.9246338
43 1847.04834 215.796965 0.7 7966.2 62.8974984 5736.99902 7.52043186 0.7 7966.2 62.8974984
43.5 1833.09653 216.050001 0.7 7966.2 62.8701745 5759.23063 8.26610898 0.7 7966.2 62.8701745
44 1819.26258 216.301023 0.7 7966.2 62.8426559 5781.27613 9.01379189 0.7 7966.2 62.8426559
44.5 1805.5459 216.550051 0.7 7966.2 62.8149364 5803.13203 9.76345983 0.7 7966.2 62.8149364
45 1791.94594 216.797104 0.7 7966.2 62.7870095 5824.79486 10.5150921 0.7 7966.2 62.7870095
45.5 1778.46211 217.042203 0.7 7966.2 62.7588684 5846.26117 11.2686682 0.7 7966.2 62.7588684
46 1765.09387 217.285369 0.7 7966.2 62.7305066 5867.52754 12.0241676 0.7 7966.2 62.7305066
46.5 1751.84066 217.526621 0.7 7966.2 62.7019169 5888.59056 12.7815698 0.7 7966.2 62.7019169
47 1738.70194 217.765979 0.7 7966.2 62.6730922 5909.44687 13.5408548 0.7 7966.2 62.6730922
47.5 1725.67717 218.003463 0.7 7966.2 62.6440253 5930.09311 14.3020022 0.7 7966.2 62.6440253
48 1712.76581 218.239093 0.7 7966.2 62.6147085 5950.52594 15.064992 0.7 7966.2 62.6147085
48.5 1699.96735 218.472889 0.7 7966.2 62.5851341 5970.74208 15.8298043 0.7 7966.2 62.5851341
49 1687.28129 218.704869 0.7 7966.2 62.5552942 5990.73825 16.5964193 0.7 7966.2 62.5552942
49.5 1674.70711 218.935054 0.7 7966.2 62.5251805 6010.51119 17.3648172 0.7 7966.2 62.5251805
50 1662.24433 219.163462 0.7 7966.2 62.4947847 6030.0577 18.1349784 0.7 7966.2 62.4947847
50.5 1649.89248 219.390112 0.7 7966.2 62.4640981 6049.37457 18.9068835 0.7 7966.2 62.4640981
51 1637.65109 219.615024 0.7 7966.2 62.4331118 6068.45865 19.6805132 0.7 7966.2 62.4331118
51.5 1625.51972 219.838216 0.7 7966.2 62.4018165 6087.3068 20.4558481 0.7 7966.2 62.4018165
52 1613.49792 220.059707 0.7 7966.2 62.3702029 6105.91592 21.2328692 0.7 7966.2 62.3702029
52.5 1601.58527 220.279515 0.7 7966.2 62.3382611 6124.28293 22.0115575 0.7 7966.2 62.3382611
53 1589.78138 220.497658 0.7 7966.2 62.3059812 6142.40479 22.7918943 0.7 7966.2 62.3059812
53.5 1578.08586 220.714156 0.7 7966.2 62.2733527 6160.27848 23.5738606 0.7 7966.2 62.2733527
54 1566.49832 220.929026 0.7 7966.2 62.240365 6177.90103 24.357438 0.7 7966.2 62.240365
54.5 1555.01844 221.142285 0.7 7966.2 62.2070069 6195.26948 25.142608 0.7 7966.2 62.2070069
55 1543.64586 221.353953 0.7 7966.2 62.1732671 6212.38091 25.9293522 0.7 7966.2 62.1732671
55.5 1532.38028 221.564046 0.7 7966.2 62.1391337 6229.23245 26.7176525 0.7 7966.2 62.1391337
56 1521.22142 221.772581 0.7 7966.2 62.1045947 6245.82123 27.5074907 0.7 7966.2 62.1045947
56.5 1510.169 221.979577 0.7 7966.2 62.0696373 6262.14444 28.298849 0.7 7966.2 62.0696373
57 1499.22277 222.185051 0.7 7966.2 62.0342486 6278.19929 29.0917095 0.7 7966.2 62.0342486
57.5 1488.38253 222.389019 0.7 7966.2 61.998415 6293.98304 29.8860546 0.7 7966.2 61.998415
58 1477.64807 222.591498 0.7 7966.2 61.9621225 6309.49297 30.6818666 0.7 7966.2 61.9621225
58.5 1467.01924 222.792505 0.7 7966.2 61.9253567 6324.7264 31.4791282 0.7 7966.2 61.9253567
59 1456.49589 222.992058 0.7 7966.2 61.8881026 6339.68069 32.2778221 0.7 7966.2 61.8881026
59.5 1446.07791 223.190171 0.7 7966.2 61.8503447 6354.35322 33.0779311 0.7 7966.2 61.8503447
60 1435.76524 223.386862 0.7 7966.2 61.8120667 6368.74143 33.8794381 0.7 7966.2 61.8120667
60.5 1425.55782 223.582146 0.7 7966.2 61.773252 6382.84278 34.6823264 0.7 7966.2 61.773252
61 1415.45566 223.77604 0.7 7966.2 61.7338832 6396.65478 35.486579 0.7 7966.2 61.7338832
61.5 1405.45877 223.968559 0.7 7966.2 61.6939422 6410.17496 36.2921794 0.7 7966.2 61.6939422
62 1395.56723 224.159719 0.7 7966.2 61.6534104 6423.40091 37.0991111 0.7 7966.2 61.6534104
62.5 1385.78114 224.349535 0.7 7966.2 61.6122682 6436.33025 37.9073575 0.7 7966.2 61.6122682
63 1376.10066 224.538023 0.7 7966.2 61.5704954 6448.96063 38.7169024 0.7 7966.2 61.5704954
